user_name,date,text,tweet_id,user_followers,is_retweet
CryptoNobler,2026-04-26 11:20:10,"🚨 BREAKING

TRUMP INSIDER WITH 100% WIN RATE JUST OPENED A $28,000,000.00 OIL LONG AHEAD OF THE U.S. MARKET OPEN.

THIS GUY JUST WENT ALL-IN AFTER 12 SUCCESSFUL TRADES IN A ROW AND $93 MILLION IN PROFIT.

HE DEFINITELY KNOWS OIL PRICES WILL SKYROCKET ON MONDAY… https://t.co/tTl9pwbquh",2048361489052979447,346184,False
crypto_king34,2026-04-26 13:09:47,"🇺🇸President Trump said that he has an obligation to ensure the cryptocurrency sector stays in good shape.

He said that crypto and Bitcoin are a huge sector and we should be number one in this sector. 🚀 https://t.co/7a2Ly7Epql",2048389073555919325,171659,False
BitcoinIntelX,2026-04-26 10:47:51,"🇺🇸 PRESIDENT TRUMP DECLARED: “I WILL STAND WITH THE 50 MILLION AMERICANS WHO OWN CRYPTO AND DEFEND THEIR RIGHTS.”

I’M COMMITTED TO MAKING SURE THE NEXT ERA OF BITCOIN AND DIGITAL ASSETS IS BUILT IN THE UNITED STATES.

AMERICA IS ON TRACK TO BECOME THE GLOBAL HUB FOR CRYPTO. https://t.co/3BoW9hUihP",2048353357954183597,45483,False
Rajatsoni,2026-04-26 13:19:08,"Bitcoin is not crypto

Bitcoin is worth $1.56T

The total crypto market cap is $2.6T

Bitcoin is 60% of the total crypto market cap

The top 7 cryptocurrencies after Bitcoin are worth $802B in total (77% of the total mareket cap of coins OTHER than Bitcoin):

#1: ETH: Why the hell would you save in something with no supply cap?

#2: USDT: I buy Bitcoin to get out of USD + unlimited supply

#3: XRP: Majority held by a single institution, insiders never buy - only sell, missing first week of ledger history (anyone who argues against this doesn't have any accounting knowledge)

#4: BNB: The person who runs it owns the majority of the supply from what I know, I don't want to hold a coin that someone else has almost full control of

#5: USDC: Again, I don't want US Dollars 

#6: SOL: Again, unlimited supply, and I want nothing to do with that

#7: TRX: Majority held by insiders, I don't want it

Everything else (~20M coins) is worth ~$300B

If the top 7 altcoins are bullshit, then how much worse are the next 20 million?",2048391430641512586,136315,False
TedPillows,2026-04-26 11:07:00,"▫️ Jan 2014: Janet Yellen became Fed Chair

$BTC dumped 84%.

▫️ Feb 2018: Powell became Fed Chair

Bitcoin dumped 73%.

▫️ May 2022: Powell got 2nd term

BTC dumped 61%

Now, Kevin Warsh is expected to become Fed chair next month.

Will history repeat again, or is this time different?",2048358175607279884,290434,False
TonySeverinoCMT,2026-04-26 13:27:20,"Well said

This is why I believe Bitcoin is going through an identity crisis

It was supposed to be decentralized and anti-gov, anti-institution

What do you see?

One man owning a massive chunk of the supply and using it for financial gain and re-productizing it

Lots if government suits with their hands in the pie

It lost its purity and is tainted by the same system it was supposed to allow us to opt out of

It is heart-breaking for Bitcoin, IMO

I don't think this was Satoshi's vision for it. Nowhere in the white paper does it say it wants to be aligned with the White House, BlackRock, etc. 

It aimed to be peer-to-peer digital cash

Even the user-base. Once a upon a time, there were guys like Andreas Antonopoulos volunteering blood, sweat, and tears into teaching others about Bitcoin

Now its a cult of people hating on anyone who thinks differently than them – no purity or love anymore

This is only one way Bitcoin's identity has taken a hit. The Digital Gold narrative is also dead

All that's left is for price to not perform as well as the past, and what's the point? We are already approaching that reality

Scarcity is not enough. Past performance doesn't guarantee future results. Environments and narratives change. Models break",2048393490808049805,47278,False
0xSweep,2026-04-26 12:52:30,"This was probably the worst way to lose $150,000 ever

In July 2022, an NFT whale called Franklin, the seventh largest Bored Ape holder at the time, registered an Ethereum Name Service domain called ""stop-doing-fake-bids-its-honestly-lame-my-guy.eth""

It was meant to be a meta joke about people creating useless ENS names just to bait a Twitter bot into tweeting fake high bids on them

To pull the joke off, he placed a 100 ETH bid on his own domain from a second wallet, which was worth around $150,000 at the time and the bot ended up tweeting it

Then a guy called 8892 placed a real bid of 1.89 ETH (~$2,800) on the domain

Franklin accepted, went to Twitter to post ""the most surprising 1.891 ETH I have ever made"" and then completely forgot one detail

His own 100 ETH bid was still active

Fifteen minutes later, 8892 accepted that 100 ETH offer, instantly selling the domain back to Franklin for $150,000 and walking away with a clean 97.5 ETH profit

Franklin tried sending the 1.89 ETH back as a goodwill gesture hoping the buyer would reverse it

8892 just tweeted ""I ripped this guy off for 100 ETH and he just sent me another 1.9?""

Franklin posted ""Oh no, I lost 100 ETH. This will be the joke and bag fumble of the century. I deserve all of the jokes and criticism.""

A guy who owned 57 Bored Apes worth millions got rinsed because he couldn't remember to cancel his own joke",2048384726507966881,245850,False
Booksey,2026-04-26 11:27:08,"Today’s work office

Bitcoin and the rest of the market looking great

Can’t complain

Good morning https://t.co/Wl3HjgpCk4",2048363243718980037,147664,False
WOLF_Bitcoin_,2026-04-26 12:30:00,"🚨 401 Financial CEO Tyrone Ross Jr. said:

“Morgan Stanley getting into Bitcoin is huge.""

“They have a large advisor base.

Huge scale and ultimately there’s the possibility for an ETF to end up in model portfolios.”
https://t.co/2kqN8cPgli",2048379063149183113,86754,False
CryptoGodJohn,2026-04-26 12:41:36,It’s going to be a crazy next few weeks / months,2048381984737522057,870398,False
Bitcoin_Teddy,2026-04-26 11:06:00,JK Rowling is a savage 😂 https://t.co/gJjQzbxirL,2048357923944821029,89267,False
VoidReader_,2026-04-25 18:39:26,"$322,237 net profit on 5-minute Bitcoin markets

41,589 predictions made with a 54% win rate

The best trade brought $12,134 from $4,094

Most of his positions are opened around the ~40% range

Wallet: 0x3a847382ad6fff9be1db4e073fd9b869f6884d44",2048109648084152693,730,False
CryptoVikings07,2026-04-26 12:49:12,"A lots of altcoins chart are at the verge of breakout

They are waiting for bitcoin to take the first step

$BTC's next move would decide the breakout",2048383895226417650,65057,False
AshCrypto,2026-04-26 13:28:18,"BREAKING:

Saylor hints buying more bitcoin this week.

“The ₿eat Goes On.” https://t.co/WeWL4hgZaH",2048393735914897638,2152216,False
ImCryptOpus,2026-04-26 13:02:59,"📊 Market Overview: 

$BTC : $77838

$ETH : $2328.68

$BNB : $631.05

$SOL : $86.08

📈 Market Cap : 

Total : 2.68T

#DeFi : 87.14B

24hr Vol : 50.87B

⚡ Sentiment : 

FGI : Fear (33)

Open Interest : 56.47B

24h Liquidation : $91.8M

#crypto",2048387366012772557,20325,False
TedPillows,2026-04-26 11:07:00,"Ethereum Foundation has unstaked $48,100,000 in $ETH.

Are they planning to sell more Ethereum? https://t.co/BgdBJ3INSL",2048358175498293481,290434,False
eth_exy,2026-04-26 12:40:41,Sell in May and Go Away.,2048381751257686278,64397,False
CryptoGodJohn,2026-04-26 12:39:48,gMaga.,2048381529319993691,870398,False
BTC_for_Freedom,2026-04-26 11:16:36,Bitcoin is for everyone.,2048360593434841154,124853,False
usd_xau_btc_jpy,2026-04-26 12:36:31,"ビットコイン【爆益相場】到来。

週明けから爆発するBTCは仕込むなら今
久々に8桁ぶっこむかも。

そのくらい半端じゃない相場きてる。

知りたい人いる？
#BTC  #Bitcoin https://t.co/J1BxHXNygn",2048380705525338124,2025,False
coinbureau,2026-04-26 12:10:00,"🚨 VITALIK'S ETHEREUM FOUNDATION UNSTAKES $48.9M $ETH, SELLING NEXT?

The Ethereum Foundation is unstaking $48.9M in $ETH, moving WSTETH through Lido’s unstaking process, per Arkham.

Once unlocked, this ETH becomes fully liquid, raising questions about potential selling pressure.",2048374029732712466,1099878,False
