date,hashtag,frequency
2026-03-30,#crypto,1
2026-03-30,#cryptonews,1
2026-03-30,#gatelive,1
2026-03-30,#livestreaming,1
2026-04-10,#11,1
2026-04-10,#gatelive,1
2026-04-10,#livestream,1
2026-04-10,#cryptonews,1
2026-04-10,#airdrops,1
2026-04-10,#crypto,1
2026-04-19,#bitcoin,1
2026-04-19,#iranwar,1
2026-04-19,#war,1
2026-04-19,#cryptocurrency,1
2026-04-20,#bitcoin,2
2026-04-20,#doge,1
2026-04-20,#wallstreet,1
2026-04-20,#btc,1
2026-04-20,#shib,1
2026-04-20,#xrp,1
2026-04-20,#pengu,1
2026-04-20,#miami,1
2026-04-20,#altcoins,1
2026-04-20,#rave,1
2026-04-20,#bnb,1
2026-04-20,#eth,1
2026-04-20,#sol,1
2026-04-20,#pepe,1
2026-04-20,#ada,1
2026-04-20,#cro,1
2026-04-20,#manyu,1
2026-04-21,#bitcoin,2
2026-04-21,#actucrypto,1
2026-04-21,#altcoins,1
2026-04-21,#xrp,1
2026-04-21,#crypto,1
2026-04-22,#crypto,1
2026-04-22,#web3,1
2026-04-22,#cryptocurrecy,1
2026-04-22,#binance,1
2026-04-22,#bitcoin,1
2026-04-22,#3aatlas,1
2026-04-22,#cryptonews,1
2026-04-22,#eth,1
2026-04-22,#btc,1
2026-04-22,#cryptomarket,1
2026-04-22,#thebittimes,1
2026-04-23,#ethereum,1
2026-04-23,#bitcoin,1
2026-04-23,#113,1
2026-04-23,#eth,1
2026-04-23,#btc,1
2026-04-24,#bitcoin,1
2026-04-24,#btc,1
2026-04-24,#gatelive,1
2026-04-24,#airdrops,1
2026-04-24,#crypto,1
2026-04-24,#cryptonews,1
2026-04-24,#eth,1
2026-04-24,#ethereum,1
2026-04-24,#livestream,1
2026-04-24,#1,1
2026-04-24,#114,1
2026-04-25,#bitcoin,2
2026-04-25,#btc,2
2026-04-25,#eth,2
2026-04-25,#cmc,1
2026-04-25,#ethereum,1
2026-04-25,#115,1
2026-04-25,#cber,1
2026-04-25,#crypto,1
2026-04-26,#bitcoin,46
2026-04-26,#crypto,45
2026-04-26,#btc,20
2026-04-26,#aapl,19
2026-04-26,#aiboom,12
2026-04-26,#nasdaq,6
2026-04-26,#ethereum,6
2026-04-26,#nvda,6
2026-04-26,#xrp,5
2026-04-26,#web3,5
2026-04-26,#hpc,5
2026-04-26,#eth,5
2026-04-26,#technicalanalysis,4
2026-04-26,#basechain,4
2026-04-26,#spy,4
2026-04-26,#portfolio,3
2026-04-26,#stock,3
2026-04-26,#sol,3
2026-04-26,#pltr,3
2026-04-26,#aistocks,3
2026-04-26,#inflation,3
2026-04-26,#trading,3
2026-04-26,#altcoins,3
2026-04-26,#nio,3
2026-04-26,#trump,3
2026-04-26,#stockmarket,3
2026-04-26,#recession,3
2026-04-26,#earnings,3
2026-04-26,#valueinvesting,3
2026-04-26,#wealthbuilding,3
2026-04-26,#amzn,3
2026-04-26,#gapup,3
2026-04-26,#stocktrading,3
2026-04-26,#investing,2
2026-04-26,#marketanalysis,2
