user_name,hashtag,frequency
pete_rizzo_,#bitcoin,8
egragcrypto,#xrp,6
ChrisCa76642661,#ethereum,4
ChrisCa76642661,#bitcoin,4
ChrisCa76642661,#crypto,4
CryptoMichNL,#bitcoin,4
ChrisCa76642661,#basechain,4
kirnHsingh,#bitcoin,3
Gate__Live,#cryptonews,3
Gate__Live,#crypto,3
Can_Sayan,#altcoin,3
matteoinvest,#ethereum,3
capitalgr,#capitalgr,3
matteoinvest,#btc,3
matteoinvest,#eth,3
BSCGemsAlert,#crypto,3
Gate__Live,#gatelive,3
matteoinvest,#bitcoin,3
Washigorira,#bitcoin,2
usd_xau_btc_jpy,#bitcoin,2
0xToxo,#weexpizzaday,2
iAmFAMZo,#crypto,2
3twariorfamily,#iranwar,2
3twariorfamily,#crypto,2
Bitcoinsensus,#crypto,2
ATHCryptfh,#btc,2
angrycryptoshow,#cardano,2
CryptoMichNL,#crypto,2
mybitcos,#blockchain,2
mybitcos,#bitcospro,2
Gate__Live,#airdrops,2
3twariorfamily,#trump,2
usd_xau_btc_jpy,#btc,2
3twariorfamily,#xrp,2
mybitcos,#web3,2
BitbullTrading,#bitcoin,2
BTCTimescom,#bitcoin,2
itsFoxCrypto,#crypto,2
TATrader_Alan,#bitcoin,2
PiyasaNabizi,#eth,2
mybitcos,#defi,2
enricmm85,#bitcoin,2
MatthewHyland_,#btc,2
mybitcos,#crypto,2
bitget,#bitcoinpizzaday,2
Gate__Live,#livestream,2
el_crypto_prof,#altcoins,2
HakkPilpil,#btc,2
mybitcos,#bos,2
PaulGoldEagle,#xrp,2
Solpok21,#bitcoin,2
binance,#binancepizza,2
Bitcoinsensus,#doge,2
traderhamza,#bitcoin,2
rkmtimes,#bitcoin,2
ActuCrypto_info,#crypto,1
thickquidity,#nftrees,1
ItenLidija1098,#trader,1
CryptoNowNever,#binance,1
SquidGame_TON_X,#hodl,1
HorseCrypto369,#horse,1
TylerRush381439,#aiboom,1
CryptoNowNever,#ethereum,1
richard_gi51612,#techstocks,1
GRust35615,#crypto,1
bnb_girl1,#crypto,1
SquidGame_TON_X,#bullmarket,1
soydavidvillega,#zec,1
cryptodispenser,#cryptosecurity,1
3Letters__,#xrp,1
MTogliatti9920,#hpc,1
Rajatsoni,#4,1
NedunckDefi,#web3,1
Cber_Official,#crypto,1
JeffreyAgu81050,#crypto,1
Tuoi___,#iranwar,1
DAF1CHAIN,#bnb,1
Tuoi___,#war,1
EileenS33660,#aapl,1
ALhajri0999,#btc,1
SquidGame_TON_X,#squidgame,1
rajala5576,#valueinvesting,1
iAmFAMZo,#1000x,1
CryptoNowNever,#coinbase,1
DrRitikaS,#near,1
iAmFAMZo,#voltinu,1
CryptoWizardd,#btc,1
WelchCathe12265,#stockgains,1
01573bit,#radfi,1
DAF1CHAIN,#dafcoin,1
Holo_Thunder,#2,1
NitroBunnies_X,#ntro,1
JeffreyAgu81050,#coep,1
CryptoWhiza_,#btc,1
PiyasaNabizi,#altcoin,1
iAmFAMZo,#bullrun2025,1
XTexchange,#xtbitcoinpizzaday,1
PiyasaNabizi,#doge,1
Crypquint,#bitcoin,1
Bitcoinprof0637,#bitcoin,1
itsFoxCrypto,#trump,1
CryptoPatel,#bitcoin,1
SheltonReb45772,#trading,1
Mustafa84924477,#fwc,1
gardner_na38164,#hedgefund,1
et_trading_bot,#cryptosignals,1
Tuoi___,#bitcoin,1
WelchCathe12265,#inflation,1
Share_Talk,#btc,1
PiyasaNabizi,#kriptopara,1
OwenDennis46841,#aapl,1
iAmFAMZo,#voltiflex,1
NitroBunnies_X,#nitrobunnies,1
HannahRice9392,#aapl,1
KennethSmi40023,#nvda,1
Can_Sayan,#ethusdt,1
MarceloCaio_,#bitcoin,1
PiyasaNabizi,#shib,1
itsFoxCrypto,#doge,1
ICT___7,#spx,1
3Letters__,#shib,1
MTogliatti9920,#stocktips,1
Kryp_Toon,#binancechain,1
zona_crypto,#etfs,1
narrativeflow_,#defi,1
RemyC77653,#nio,1
hattengroup,#btc,1
crypto_ronny01,#bingx,1
3Letters__,#doge,1
iefsafrica,#bitcoin,1
thebittimescom,#cryptomarket,1
ralli_kralicesi,#tuprs,1
AngryUncleToken,#crypto,1
Share_Talk,#gold,1
soydavidvillega,#crypto,1
3Letters__,#manyu,1
fastheal123,#cryptomarket,1
NedunckDefi,#btcfi,1
et_trading_bot,#bitcoin,1
AlbertoPar87910,#vix,1
kidsreallycute,#tron,1
piyasasozcusu,#bitcoin,1
Solpok21,#crypto,1
DAMIR626322,#cocoro,1
Crypto_Ayman,#bitcoin,1
FirstSquawk,#bitcoin,1
AngryUncleToken,#buy,1
GuruOfkrypto,#crypto,1
ralli_kralicesi,#borsai,1
HakkPilpil,#m,1
dens_club,#crypto,1
CryptoWhiza_,#trading,1
JeffreyMur51307,#pltr,1
DavidsonKa32742,#trader,1
HorseCrypto369,#horsearmy,1
SeanWallac35944,#crypto,1
PiyasaNabizi,#bitcoin,1
Fiercecrypto,#youtube,1
bitcoinwizardry,#127,1
NormanHutc76275,#cleantech,1
Jack_gtm1,#bog,1
FirstSquawk,#solana,1
DanielHoll89654,#hpc,1
